"s_no","Company","TypeName","Inches","resolution_width","resolution_height","resolution_category","PPI","is_touch_screen","cpu_brand","cpu_name","cpu_speed","cpu_series","cpu_tier","Ram(Gb)","memory_type","primary_storage","secondary_storage","gpu_brand","gpu_name","OpSys","Weight(kg)","Price","price_segment"
0,"Apple","Ultrabook",13.3,2560,1600,"3K",227,0,"Intel"," Core i5 ",2.3,"Core i5","Performance",8,"SSD",128,0,"Intel"," Iris Plus Graphics 640","macos",1.37,71379.0,"upper_mid_range"
1,"Apple","Ultrabook",13.3,1440,900,"HD",128,0,"Intel"," Core i5 ",1.8,"Core i5","Performance",8,"Flash storage",128,0,"Intel"," HD Graphics 6000","macos",1.34,47896.0,"mid_range"
2,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",8,"SSD",256,0,"Intel"," HD Graphics 620","no OS",1.86,30636.0,"budget"
3,"Apple","Ultrabook",15.4,2880,1800,"3K",221,0,"Intel"," Core i7 ",2.7,"Core i7","Elite",16,"SSD",512,0,"AMD"," Radeon Pro 455","macos",1.83,135195.0,"premium"
4,"Apple","Ultrabook",13.3,2560,1600,"3K",227,0,"Intel"," Core i5 ",3.1,"Core i5","Performance",8,"SSD",256,0,"Intel"," Iris Plus Graphics 650","macos",1.37,96096.0,"premium"
5,"Acer","Notebook",15.6,1366,768,"HD",100,0,"AMD"," A9-Series 9420 ",3.0,"A9","Standard",4,"HDD",500,0,"AMD"," Radeon R5","windows",2.1,21312.0,"budget"
6,"Apple","Ultrabook",15.4,2880,1800,"3K",221,0,"Intel"," Core i7 ",2.2,"Core i7","Elite",16,"Flash storage",256,0,"Intel"," Iris Pro Graphics","macos",2.04,114018.0,"premium"
7,"Apple","Ultrabook",13.3,1440,900,"HD",128,0,"Intel"," Core i5 ",1.8,"Core i5","Performance",8,"Flash storage",256,0,"Intel"," HD Graphics 6000","macos",1.34,61736.0,"upper_mid_range"
8,"Asus","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",16,"SSD",512,0,"Nvidia"," GeForce MX150","windows",1.3,79654.0,"upper_mid_range"
9,"Acer","Ultrabook",14.0,1920,1080,"Full HD",157,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.6,41026.0,"mid_range"
10,"HP","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i5 7200U ",2.5,"Core i5","Performance",4,"HDD",500,0,"Intel"," HD Graphics 620","no OS",1.86,20987.0,"budget"
11,"HP","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",500,0,"Intel"," HD Graphics 520","no OS",1.86,18381.0,"budget"
12,"Apple","Ultrabook",15.4,2880,1800,"3K",221,0,"Intel"," Core i7 ",2.8,"Core i7","Elite",16,"SSD",256,0,"AMD"," Radeon Pro 555","macos",1.83,130002.0,"premium"
13,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"SSD",256,0,"AMD"," Radeon R5 M430","windows",2.2,26581.0,"budget"
14,"Apple","Ultrabook",12.0,2304,1440,"2K",226,0,"Intel"," Core M m3 ",1.2,"Other","Uncategorized",8,"SSD",256,0,"Intel"," HD Graphics 615","macos",0.92,67261.0,"upper_mid_range"
15,"Apple","Ultrabook",13.3,2560,1600,"3K",227,0,"Intel"," Core i5 ",2.3,"Core i5","Performance",8,"SSD",256,0,"Intel"," Iris Plus Graphics 640","macos",1.37,80908.0,"premium"
16,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 7500U ",2.7,"Core i7","Elite",8,"SSD",256,0,"AMD"," Radeon R5 M430","windows",2.2,39694.0,"mid_range"
17,"Apple","Ultrabook",15.4,2880,1800,"3K",221,0,"Intel"," Core i7 ",2.9,"Core i7","Elite",16,"SSD",512,0,"AMD"," Radeon Pro 560","macos",1.83,152274.0,"ultra_premium"
18,"Lenovo","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i3 7100U ",2.4,"Core i3","Standard",8,"HDD",1024,0,"Nvidia"," GeForce 940MX","no OS",2.2,26587.0,"budget"
19,"Dell","Ultrabook",13.3,1920,1080,"Full HD",166,1,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",128,0,"Intel"," UHD Graphics 620","windows",1.22,52161.0,"upper_mid_range"
21,"Lenovo","Gaming",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 7300HQ ",2.5,"Core i5","Performance",8,"Hybrid",128,1024,"Nvidia"," GeForce GTX 1050","windows",2.5,53227.0,"upper_mid_range"
22,"HP","Notebook",15.6,1366,768,"HD",100,0,"AMD"," E-Series E2-9000e ",1.5,"E-Series","Essential",4,"HDD",500,0,"AMD"," Radeon R2","no OS",1.86,13746.0,"budget"
23,"Dell","2 in 1 Convertible",13.3,1920,1080,"Full HD",166,1,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"Intel"," UHD Graphics 620","windows",1.62,43636.0,"mid_range"
24,"HP","Ultrabook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8550U ",1.8,"Core i7","Elite",8,"SSD",256,0,"Intel"," HD Graphics 620","windows",1.91,35112.0,"mid_range"
25,"Dell","Notebook",15.6,1366,768,"HD",100,0,"Intel"," Core i3 6006U ",2.0,"Core i3","Standard",4,"HDD",1024,0,"Intel"," HD Graphics 520","windows",2.3,22305.0,"budget"
26,"Apple","Ultrabook",13.3,1440,900,"HD",128,0,"Intel"," Core i5 ",1.6,"Core i5","Performance",8,"Flash storage",128,0,"Intel"," HD Graphics 6000","macos",1.35,58555.0,"upper_mid_range"
27,"Dell","Notebook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i5 8250U ",1.6,"Core i5","Performance",8,"SSD",256,0,"AMD"," Radeon 530","windows",2.2,42624.0,"mid_range"
28,"Dell","Ultrabook",15.6,1920,1080,"Full HD",141,0,"Intel"," Core i7 8650U ",1.9,"Core i7","Elite",8,"Hybrid",256,256,"Intel"," UHD Graphics 620","windows",1.88,69157.0,"upper_mid_range"
